Category,City,Container,Customer ID,Customer Name,Customer Segment,Department,Discount,Item ID,Item,Number of Records,Order Date,Order ID,Order Priority,Order Quantity,Postal Code,Product Base Margin,Profit,Region,Row ID,Sales,Ship Date,Ship Mode,Shipping Cost,State,Unit Price
"Scissors, Rulers and Trimmers",Washington,Small Pack,2867,Dana Teague,Corporate,Office Supplies,0.01,11237,Kleencut® Forged Office Shears by Acme United Corporation,1,2/18/2020,6,Not Specified,2,20016,0.55,-5,East,2,7,2/19/2020,Regular Air,3,District of Columbia,2
Storage & Organization,Oxford,Medium Box,1821,Vanessa Boyer,Consumer,Office Supplies,0.06,10730,Eldon Simplefile® Box Office®,1,8/5/2018,193,Critical,25,1540,0.57,-37,East,27,312,8/7/2018,Regular Air,6,Massachusetts,12
Telephones and Communication,Irving,Small Box,1402,Wesley Tate,Corporate,Technology,0.08,10070,I888 World Phone,1,3/15/2020,322,Critical,20,75061,0.6,258,Central,52,2635,3/17/2020,Regular Air,8,Texas,156
Paper,Irving,Small Box,1402,Wesley Tate,Corporate,Office Supplies,0.1,11193,Xerox 1997,1,3/15/2020,322,Critical,46,75061,0.37,-292,Central,53,281,3/17/2020,Regular Air,10,Texas,6
Bookcases,Oxford,Jumbo Box,2747,Brian Grady,Corporate,Furniture,0.02,10030,O'Sullivan 2-Shelf Heavy-Duty Bookcases,1,9/17/2018,358,High,60,1540,0.69,-1348,East,62,2983,9/19/2018,Delivery Truck,54,Massachusetts,49
Computer Peripherals,Oxford,Small Pack,2747,Brian Grady,Corporate,Technology,0.07,10697,"80 Minute CD-R Spindle, 100/Pack - Staples",1,9/17/2018,358,High,60,1540,0.54,269,East,63,2247,9/17/2018,Regular Air,2,Massachusetts,39
Tables,Los Angeles,Jumbo Box,553,Kristine Connolly,Corporate,Furniture,0.08,10849,Bevis 36 x 72 Conference Tables,1,12/16/2017,359,Medium,56,90008,0.63,-500,West,64,6831,12/17/2017,Delivery Truck,52,California,124
Labels,Oxford,Small Box,3289,Emily Britt,Corporate,Office Supplies,0.02,10868,Avery 501,1,1/22/2019,386,High,4,1540,0.38,0,East,66,15,1/24/2019,Regular Air,1,Massachusetts,4
Pens & Art Supplies,Oxford,Wrap Bag,3289,Emily Britt,Corporate,Office Supplies,0.09,10431,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,1,1/22/2019,386,High,4,1540,0.44,-3,East,67,16,1/24/2019,Regular Air,1,Massachusetts,4
Appliances,Houston,Medium Box,1630,Jimmy Han,Home Office,Office Supplies,0.06,11050,Harmony HEPA Quiet Air Purifiers,1,12/12/2020,388,Not Specified,92,77095,0.5,-95,Central,68,1036,12/15/2020,Regular Air,7,Texas,12
Rubber Bands,Boston,Wrap Bag,898,Harriet Hodges,Small Business,Office Supplies,0.09,10063,Staples Bulk Pack Metal Binder Clips,1,12/24/2019,454,Low,84,2129,0.35,56,East,78,468,12/26/2019,Regular Air,2,Massachusetts,6
Labels,Houston,Small Box,3106,Alexander O'Brien,Home Office,Office Supplies,0.04,11130,Avery 481,1,9/18/2017,548,Critical,75,77041,0.37,36,Central,87,237,9/19/2017,Regular Air,1,Texas,3
Paper,Houston,Small Box,3106,Alexander O'Brien,Home Office,Office Supplies,0.02,10906,Xerox 1976,1,9/18/2017,548,Critical,53,77041,0.37,-51,Central,88,371,9/19/2017,Regular Air,6,Texas,6
Telephones and Communication,Houston,Small Box,3106,Alexander O'Brien,Home Office,Technology,0.04,10252,V3682,1,9/18/2017,548,Critical,47,77041,0.59,510,Central,89,4977,9/20/2017,Regular Air,4,Texas,126
Paper,Boston,Small Box,3011,Tammy Raynor,Corporate,Office Supplies,0.1,10378,Xerox 1928,1,10/17/2020,612,Medium,105,2113,0.4,-166,East,95,552,10/19/2020,Regular Air,6,Massachusetts,5
