Category,City,Container,Customer ID,Customer Name,Customer Segment,Department,Item,Item ID,Order Date,Order ID,Order Priority,Postal Code,Region,Row ID,Ship Date,Ship Mode,State,Discount,Order Quantity,Product Base Margin,Profit,Sales,Shipping Cost,Unit Price
"Scissors, Rulers and Trimmers",Washington,Small Pack,2867,Dana Teague,Corporate,Office Supplies,Kleencut® Forged Office Shears by Acme United Corporation,11237,2/18/2020,6,Not Specified,20016,East,2,2/19/2020,Regular Air,District of Columbia,0.01,2,0.55,-5,7,3,2
Storage & Organization,Oxford,Medium Box,1821,Vanessa Boyer,Consumer,Office Supplies,Eldon Simplefile® Box Office®,10730,8/5/2018,193,Critical,1540,East,27,8/7/2018,Regular Air,Massachusetts,0.06,25,0.57,-37,312,6,12
Telephones and Communication,Irving,Small Box,1402,Wesley Tate,Corporate,Technology,I888 World Phone,10070,3/15/2020,322,Critical,75061,Central,52,3/17/2020,Regular Air,Texas,0.08,20,0.6,258,2635,8,156
Paper,Irving,Small Box,1402,Wesley Tate,Corporate,Office Supplies,Xerox 1997,11193,3/15/2020,322,Critical,75061,Central,53,3/17/2020,Regular Air,Texas,0.1,46,0.37,-292,281,10,6
Bookcases,Oxford,Jumbo Box,2747,Brian Grady,Corporate,Furniture,O'Sullivan 2-Shelf Heavy-Duty Bookcases,10030,9/17/2018,358,High,1540,East,62,9/19/2018,Delivery Truck,Massachusetts,0.02,60,0.69,-1348,2983,54,49
Computer Peripherals,Oxford,Small Pack,2747,Brian Grady,Corporate,Technology,"80 Minute CD-R Spindle, 100/Pack - Staples",10697,9/17/2018,358,High,1540,East,63,9/17/2018,Regular Air,Massachusetts,0.07,60,0.54,269,2247,2,39
Tables,Los Angeles,Jumbo Box,553,Kristine Connolly,Corporate,Furniture,Bevis 36 x 72 Conference Tables,10849,12/16/2017,359,Medium,90008,West,64,12/17/2017,Delivery Truck,California,0.08,56,0.63,-500,6831,52,124
Labels,Oxford,Small Box,3289,Emily Britt,Corporate,Office Supplies,Avery 501,10868,1/22/2019,386,High,1540,East,66,1/24/2019,Regular Air,Massachusetts,0.02,4,0.38,0,15,1,4
Pens & Art Supplies,Oxford,Wrap Bag,3289,Emily Britt,Corporate,Office Supplies,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,10431,1/22/2019,386,High,1540,East,67,1/24/2019,Regular Air,Massachusetts,0.09,4,0.44,-3,16,1,4
Appliances,Houston,Medium Box,1630,Jimmy Han,Home Office,Office Supplies,Harmony HEPA Quiet Air Purifiers,11050,12/12/2020,388,Not Specified,77095,Central,68,12/15/2020,Regular Air,Texas,0.06,92,0.5,-95,1036,7,12
Rubber Bands,Boston,Wrap Bag,898,Harriet Hodges,Small Business,Office Supplies,Staples Bulk Pack Metal Binder Clips,10063,12/24/2019,454,Low,2129,East,78,12/26/2019,Regular Air,Massachusetts,0.09,84,0.35,56,468,2,6
Labels,Houston,Small Box,3106,Alexander O'Brien,Home Office,Office Supplies,Avery 481,11130,9/18/2017,548,Critical,77041,Central,87,9/19/2017,Regular Air,Texas,0.04,75,0.37,36,237,1,3
Paper,Houston,Small Box,3106,Alexander O'Brien,Home Office,Office Supplies,Xerox 1976,10906,9/18/2017,548,Critical,77041,Central,88,9/19/2017,Regular Air,Texas,0.02,53,0.37,-51,371,6,6
Telephones and Communication,Houston,Small Box,3106,Alexander O'Brien,Home Office,Technology,V3682,10252,9/18/2017,548,Critical,77041,Central,89,9/20/2017,Regular Air,Texas,0.04,47,0.59,510,4977,4,126
Paper,Boston,Small Box,3011,Tammy Raynor,Corporate,Office Supplies,Xerox 1928,10378,10/17/2020,612,Medium,2113,East,95,10/19/2020,Regular Air,Massachusetts,0.1,105,0.4,-166,552,6,5
Telephones and Communication,Boston,Small Box,3011,Tammy Raynor,Corporate,Technology,Item 10164,10164,10/17/2020,612,Medium,2113,East,96,10/19/2020,Regular Air,Massachusetts,0.01,90,0.55,882,5298,3,66
Binders and Binder Accessories,Dallas,Small Box,563,Marjorie Pope,Corporate,Office Supplies,"Angle-D Binders with Locking Rings, Label Holders",11105,6/15/2019,613,High,75081,Central,97,6/15/2019,Regular Air,Texas,0.03,20,0.38,-54,156,8,7
Storage & Organization,Dallas,Small Box,563,Marjorie Pope,Corporate,Office Supplies,"SAFCO Mobile Desk Side File, Wire Frame",10591,6/15/2019,613,High,75081,Central,98,6/16/2019,Regular Air,Texas,0.09,36,0,128,1481,6,43
"Scissors, Rulers and Trimmers",Dallas,Small Pack,1106,Maxine Collier Grady,Small Business,Office Supplies,Acme® Forged Steel Scissors with Black Enamel Handles,10621,11/19/2017,646,High,75220,Central,106,11/20/2017,Regular Air,Texas,0.01,61,0.56,-11,587,4,9
Appliances,Oxford,Small Box,607,Clara Hauser,Corporate,Office Supplies,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,10914,2/27/2018,738,Not Specified,1540,East,112,3/1/2018,Regular Air,Massachusetts,0.04,7,0.59,33,561,5,81
Paper,Oxford,Small Box,607,Clara Hauser,Corporate,Office Supplies,Xerox 23,10761,2/27/2018,738,Not Specified,1540,East,113,2/28/2018,Regular Air,Massachusetts,0.08,31,0.37,-57,190,5,6
Telephones and Communication,Boston,Small Box,1488,Anthony Goodwin,Home Office,Technology,Talkabout T8367,10878,9/23/2018,773,Medium,2129,East,119,9/24/2018,Regular Air,Massachusetts,0.06,69,0.56,325,3761,9,66
Paper,Dallas,Small Box,1106,Maxine Collier Grady,Small Business,Office Supplies,Xerox 23,10761,10/5/2019,835,Not Specified,75220,Central,132,10/6/2019,Regular Air,Texas,0.02,35,0.37,-28,243,5,6
Binders and Binder Accessories,New York City,Small Box,2382,Geoffrey Saunders,Small Business,Office Supplies,GBC Therma-A-Bind 250T Electric Binding System,10837,5/3/2017,962,Low,10024,East,151,5/5/2017,Regular Air,New York,0.06,48,0.37,1408,5911,20,123
Appliances,New York City,Jumbo Drum,2382,Geoffrey Saunders,Small Business,Office Supplies,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",10977,5/3/2017,962,Low,10024,East,152,5/5/2017,Delivery Truck,New York,0.08,68,0.41,-1070,4650,60,69
Paper,Oxford,Small Box,2491,Sean N Boyer,Home Office,Office Supplies,Xerox 1981,10458,2/2/2018,1222,Medium,1540,East,188,2/2/2018,Regular Air,Massachusetts,0.08,48,0.4,-122,257,6,5
Telephones and Communication,Irving,Small Box,308,Glen Caldwell,Consumer,Technology,SC-3160,10320,10/11/2020,1447,High,75061,Central,224,10/14/2020,Regular Air,Texas,0.07,84,0.59,239,4486,9,66
Binders and Binder Accessories,Boston,Small Box,1413,Pamela Wiley,Corporate,Office Supplies,Peel & Stick Add-On Corner Pockets,11044,2/12/2020,1537,Not Specified,2113,East,227,2/12/2020,Regular Air,Massachusetts,0.07,5,0.37,-20,17,6,2
Binders and Binder Accessories,Atlanta,Small Box,1745,Herbert Holden,Home Office,Office Supplies,GBC Standard Plastic Binding Systems' Combs,10816,7/8/2020,1793,Not Specified,30305,South,257,7/8/2020,Regular Air,Georgia,0.03,50,0.4,-96,324,5,6
Binders and Binder Accessories,Oxford,Small Box,3251,Peter Brooks,Small Business,Office Supplies,Wilson Jones Suede Grain Vinyl Binders,10491,5/4/2020,1829,High,1540,East,265,5/5/2020,Regular Air,Massachusetts,0.07,62,0.36,7,172,1,3
