Category,City,Container,Customer ID,Customer Name,Customer Segment,Department,Discount,Item ID,Item,Number of Records,Order Date,Order ID,Order Priority,Order Quantity,Postal Code,Product Base Margin,Profit,Region,Row ID,Sales,Ship Date,Ship Mode,Shipping Cost,State,Unit Price
Paper,Lombard,Small Box,3035,Mark Bailey,Home Office,Office Supplies,0.01,10074,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),1,11/7/2017,89128,Low,10,60148,0.36,-76,Central,11/18/1951,53,11/9/2018,Regular Air,5,Illinois,5
Paper,Lombard,Wrap Bag,3035,Mark Bailey,Home Office,Office Supplies,0.04,10079,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",1,11/10/2015,89128,Low,12,60148,0.39,52,Central,11/19/1951,76,11/12/2016,Regular Air,1,Illinois,6
Pens & Art Supplies,Southbury,Wrap Bag,3385,Daniel Richmond,Corporate,Office Supplies,0.04,11012,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",1,11/22/2016,88745,Low,5,06488,0.57,-22,East,3/1/1961,16,11/23/2017,Express Air,2,Connecticut,3
Binders and Binder Accessories,Coachella,Small Box,3133,Kristine Singleton,Corporate,Office Supplies,0.1,10646,Fellowes Black Plastic Comb Bindings,1,1/12/2017,86789,Medium,12,92236,0.39,-350,West,6/27/1961,65,1/25/2018,Regular Air,8,California,6
Rubber Bands,Coachella,Wrap Bag,3133,Kristine Singleton,Corporate,Office Supplies,0.03,10138,Assorted Color Push Pins,1,1/12/2017,86789,Medium,10,92236,0.52,4,West,6/28/1961,19,1/25/2018,Regular Air,1,California,2
Storage & Organization,Hot Springs,Small Box,1697,Holly Osborne,Home Office,Office Supplies,0,10896,"Fellowes Personal Hanging Folder Files, Navy",1,9/3/2016,86338,Medium,9,71901,0.57,-254,South,4/13/1968,130,9/4/2017,Regular Air,6,Arkansas,13
Tables,Woodmere,Jumbo Box,1603,Dwight Pentecost,Small Business,Furniture,0.05,10550,"Bevis Round Conference Table Top, X-Base",1,1/12/2017,89679,Critical,1,11598,0.76,-537,East,6/6/1964,187,1/13/2018,Delivery Truck,29,New York,179
Office Furnishings,Laurel,Medium Box,2924,Courtney Nelson,Consumer,Furniture,0.02,10535,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",1,10/19/2016,86591,Critical,2,20707,0.69,-106,East,3/23/1950,227,10/20/2017,Regular Air,14,Maryland,111
Paper,Laurel,Wrap Bag,2924,Courtney Nelson,Consumer,Office Supplies,0.01,11122,"TOPS Money Receipt Book, Consecutively Numbered in Red,",1,10/17/2017,86591,Critical,8,20707,0.4,45,East,3/24/1950,69,10/18/2018,Regular Air,3,Maryland,8
Rubber Bands,Woodmere,Wrap Bag,1603,Dwight Pentecost,Small Business,Office Supplies,0.09,10573,Stockwell Push Pins,1,1/12/2017,89679,Critical,9,11598,0.52,2,East,6/5/1964,19,1/13/2018,Regular Air,1,New York,2
Office Furnishings,Dallas,Small Pack,667,Allison Kirby,Corporate,Furniture,0.04,10593,"Executive Impressions 14"" Two-Color Numerals Wall Clock",1,1/19/2014,22147,Low,37,75203,0.44,70,Central,6/12/1908,832,1/16/2016,Regular Air,9,Texas,23
Office Furnishings,Murfreesboro,Small Pack,665,Miriam Mueller,Corporate,Furniture,0.04,10593,"Executive Impressions 14"" Two-Color Numerals Wall Clock",1,2/1/2017,88677,Low,9,37130,0.44,-678,South,9/23/1957,202,2/22/2018,Regular Air,9,Tennessee,23
Telephones and Communication,Southbury,Small Box,3385,Daniel Richmond,Corporate,Technology,0.01,11143,M70,1,11/20/2017,88745,Low,6,06488,0.59,426,East,3/2/1961,681,11/21/2018,Regular Air,9,Connecticut,126
Paper,Dallas,Small Box,1873,Lisa Kim,Corporate,Office Supplies,0.06,10785,Xerox 1991,1,11/9/2016,90099,Medium,7,75203,0.39,-358,Central,2/26/1953,152,11/10/2017,Regular Air,8,Texas,23
Labels,Irving,Small Box,592,Eva Silverman,Small Business,Office Supplies,0.08,11013,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",1,1/26/2017,86307,Critical,10,75061,0.39,-240,Central,2/26/1954,286,1/27/2018,Regular Air,20,Texas,31
Pens & Art Supplies,Boston,Wrap Bag,2618,Amy Hamrick Melvin,Corporate,Office Supplies,0.1,10773,Newell 309,1,7/6/2015,46884,Medium,25,02129,0.55,16,East,1/12/1918,280,7/7/2016,Regular Air,2,Massachusetts,12
Pens & Art Supplies,Clarksville,Small Pack,2725,Katharine Hudson,Home Office,Office Supplies,0.05,10100,"Boston Model 1800 Electric Pencil Sharpener, Gray",1,11/12/2016,88958,Not Specified,10,37042,0.55,-66,South,11/27/1961,282,11/13/2017,Regular Air,6,Tennessee,28
Appliances,Cranston,Jumbo Drum,366,Patrick Rosenthal,Small Business,Office Supplies,0.05,10211,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",1,1/7/2017,87347,Medium,6,02910,0.57,412,East,1/15/1950,1968,1/8/2018,Delivery Truck,91,Rhode Island,328
Paper,Meridian,Wrap Bag,1702,Sandra Berry,Home Office,Office Supplies,0.05,11244,"Important Message Pads, 50 4-1/4 x 5-1/2 Forms per Pad",1,7/13/2015,90473,Medium,3,39301,0.36,20,South,2/21/1966,14,7/14/2016,Express Air,2,Mississippi,4
Envelopes,Boston,Small Box,2618,Amy Hamrick Melvin,Corporate,Office Supplies,0.1,10982,Security-Tint Envelopes,1,7/5/2016,46884,Medium,18,02129,0.36,16,East,1/10/1918,130,7/6/2017,Regular Air,1,Massachusetts,8
Envelopes,Dallas,Small Box,1873,Lisa Kim,Corporate,Office Supplies,0.03,10191,Tyvek� Side-Opening Peel & Seel� Expanding Envelopes,1,11/10/2015,90099,Medium,1,75203,0.4,15,Central,2/25/1953,100,11/11/2016,Regular Air,20,Texas,90
Pens & Art Supplies,Coachella,Wrap Bag,593,Joel Huffman,Small Business,Office Supplies,0.01,10841,Newell 323,1,1/26/2017,86307,Critical,12,92236,0.59,-53,West,2/27/1954,20,1/27/2018,Regular Air,2,California,2
Telephones and Communication,Boston,Small Box,2618,Amy Hamrick Melvin,Corporate,Technology,0,10385,Item 10385,1,7/3/2017,46884,Medium,3,02129,0.59,-816,East,1/11/1918,337,7/4/2018,Regular Air,3,Massachusetts,126
Computer Peripherals,Northport,Small Pack,1719,Russell W Melton,Corporate,Technology,0.06,10434,Maxell DVD-RAM Discs,1,9/14/2015,90786,Medium,8,35473,0.42,-145,South,6/13/1956,128,9/15/2016,Regular Air,2,Alabama,16
Appliances,Meridian,Small Box,1702,Sandra Berry,Home Office,Office Supplies,0.05,11168,"Holmes Replacement Filter for HEPA Air Cleaner, Large Room",1,7/10/2017,90473,Medium,3,39301,0.43,-220,South,2/20/1966,45,7/11/2018,Regular Air,13,Mississippi,15
Binders and Binder Accessories,Dallas,Small Box,2443,Danny Richmond,Corporate,Office Supplies,0.05,10657,Avery Arch Ring Binders,1,10/8/2016,89299,High,13,75203,0.38,1634,Central,9/21/1957,739,10/9/2017,Regular Air,1,Texas,58
Envelopes,Tupelo,Small Box,1971,Marsha Roy,Corporate,Office Supplies,0.02,11180,"Peel & Seel� Recycled Catalog Envelopes, Brown",1,1/13/2017,91550,Medium,3,38801,0.35,-260,South,10/14/1971,35,1/16/2018,Regular Air,6,Mississippi,12
Chairs & Chairmats,Willow Grove,Jumbo Drum,1972,Howard Hendricks,Corporate,Furniture,0.05,11104,Global Leather Executive Chair,1,1/13/2017,91550,Medium,6,19090,0.55,1470,East,10/17/1971,2130,1/16/2018,Delivery Truck,39,Pennsylvania,351
Office Machines,Willow Grove,Small Box,1972,Howard Hendricks,Corporate,Technology,0.04,11204,"AT&T Black Trimline Phone, Model 210",1,1/13/2017,91550,Medium,5,19090,0.49,-84,East,10/18/1971,83,1/16/2018,Express Air,9,Pennsylvania,16
