Passenger Email,Travel Insurance?,Purchase Date,Travel Date,Fare Type,Ticket Price,Route,Row_ID,Person
bgonzalez@vizpainter.com,True,12/21/2018,1/5/2019,Economy,101,DAL-PHX,69,Barry Gonzalez
scartwright@vizpainter.com,False,11/28/2018,1/2/2019,Economy,93,DAL-LAS,714,Steven Cartwright
mengle@vizpainter.com,False,8/31/2018,1/2/2019,First Class,282,DAL-HOU,514,Max Engle
beplett@vizpainter.com,False,11/23/2018,1/4/2019,Business,70,DAL-SEA,89,Bill Eplett
smatthias@vizpainter.com,False,11/21/2018,1/1/2019,Economy,109,DAL-GRR,666,Sally Matthias
mdominguez@vizpainter.com,False,11/9/2018,1/2/2019,Business,93,DAL-AUS,523,Michael Dominguez
mengle@vizpainter.com,False,12/19/2018,1/2/2019,Economy,148,DAL-HOU,514,Max Engle
mdominguez@vizpainter.com,False,11/25/2018,1/2/2019,Business,174,DAL-AUS,523,Michael Dominguez
beplett@vizpainter.com,False,12/3/2018,1/4/2019,Economy,74,DAL-CLE,89,Bill Eplett
klampkin@vizpainter.com,False,5/20/2019,9/14/2019,Economy,132,DAL-PHX,436,Kelly Lampkin
cmitchell@vizpainter.com,False,12/5/2019,12/29/2019,First Class,269,DAL-OKC,176,Corinna Mitchell
kdana@vizpainter.com,True,12/3/2019,12/14/2019,Economy,107,DAL-PHX,440,Ken Dana
cdarley@vizpainter.com,False,8/16/2019,12/3/2019,Economy,78,DAL-MDW,131,Carol Darley
arussell@vizpainter.com,False,10/4/2019,10/16/2019,Economy,120,DAL-AUS,23,Alex Russell
jkimmel@vizpainter.com,False,11/14/2019,11/23/2019,Economy,97,DAL-SLC,357,Jay Kimmel
knguyen@vizpainter.com,True,9/1/2019,10/1/2019,Economy,83,DAL-OKC,429,Kean Nguyen
agayman@vizpainter.com,False,8/5/2019,8/31/2019,Business,102,DAL-SLC,45,Anna Gayman
kmeade@vizpainter.com,False,9/18/2019,12/12/2019,Business,80,DAL-AUS,414,Kalyca Meade
jkriz@vizpainter.com,False,10/31/2019,11/25/2019,Economy,94,DAL-HOU,375,Jim Kriz
ashonely@vizpainter.com,False,12/30/2018,1/27/2019,Economy,104,DAL-MDW,16,Alan Shonely
nhansen@vizpainter.com,False,8/17/2019,10/26/2019,Economy,100,DAL-OKC,573,Nicole Hansen
pfuller@vizpainter.com,False,8/19/2019,9/12/2019,Economy,98,DAL-OKC,607,Peter Fuller
cschnelling@vizpainter.com,False,6/30/2019,7/26/2019,Business,139,DAL-OKC,165,Cindy Schnelling
mkennedy@vizpainter.com,False,7/29/2019,8/22/2019,Economy,88,DAL-OKC,543,Mike Kennedy
jwest,False,9/7/2019,9/29/2019,Economy,157,DAL-OKC,404,Julia West
dordway,False,12/3/2018,1/25/2019,Economy,126,DAL-HOU,228,Denny Ordway
