Passenger Email,Travel Insurance?,Purchase Date,Travel Date,Fare Type,Ticket Price,Route,Row_ID,Person
nlomonaco@vizpainter.com,False,8/28/2016,9/10/2016,Economy,60,DAL-MDW,553,Nancy Lomonaco
npatel@vizpainter.com,False,5/5/2016,6/11/2016,Economy,150,DAL-SLC,554,Naresj Patel
npatel@vizpainter.com,True,8/21/2016,9/21/2016,Economy,68,DAL-AMA,554,Naresj Patel
ngilpin@vizpainter.com,False,4/21/2016,6/28/2016,Business,160,DAL-SLC,556,Nat Gilpin
ndecherney@vizpainter.com,False,6/14/2016,6/25/2016,Economy,65,DAL-OKC,557,Natalie DeCherney
ndecherney@vizpainter.com,False,9/14/2016,12/2/2016,Economy,126,DAL-MDW,557,Natalie DeCherney
ndecherney@vizpainter.com,False,5/29/2016,6/25/2016,Business,121,DAL-HOU,557,Natalie DeCherney
ndecherney@vizpainter.com,True,6/3/2016,6/25/2016,Economy,83,DAL-GRR,557,Natalie DeCherney
ndecherney@vizpainter.com,True,5/30/2016,6/25/2016,Economy,141,DAL-TUL,557,Natalie DeCherney
ndecherney@vizpainter.com,False,5/23/2016,6/25/2016,Economy,66,DAL-AMA,557,Natalie DeCherney
ndecherney@vizpainter.com,False,11/10/2016,12/2/2016,Economy,122,DAL-AUS,557,Natalie DeCherney
ndecherney@vizpainter.com,False,6/14/2016,6/25/2016,Business,146,DAL-LGA,557,Natalie DeCherney
ndecherney@vizpainter.com,False,9/13/2016,12/2/2016,Economy,152,DAL-PHX,557,Natalie DeCherney
nwebber@vizpainter.com,False,9/21/2016,11/8/2016,Economy,63,DAL-GRR,559,Natalie Webber
nwebber@vizpainter.com,False,8/22/2016,11/8/2016,Economy,158,DAL-ELP,559,Natalie Webber
ngelder@vizpainter.com,False,4/23/2016,5/21/2016,Economy,71,DAL-HOU,561,Nathan Gelder
nducich@vizpainter.com,True,9/12/2016,11/22/2016,Economy,92,DAL-AMA,563,Neil Ducich
nknudson@vizpainter.com,False,11/17/2016,11/28/2016,Economy,61,DAL-AMA,565,Neil Knudson
ncrebassa@vizpainter.com,False,3/9/2016,5/9/2016,First Class,265,DAL-ATL,568,Nick Crebassa
ncrebassa@vizpainter.com,False,3/14/2016,5/9/2016,Economy,60,DAL-AUS,568,Nick Crebassa
ncrebassa@vizpainter.com,True,3/28/2016,5/9/2016,Economy,95,DAL-AUS,568,Nick Crebassa
nfjeld@vizpainter.com,False,3/15/2016,5/16/2016,Economy,115,DAL-PHX,572,Nicole Fjeld
nfjeld@vizpainter.com,False,4/19/2016,5/16/2016,Economy,110,DAL-OKC,572,Nicole Fjeld
nfjeld@vizpainter.com,False,3/31/2016,5/16/2016,Business,109,DAL-LGA,572,Nicole Fjeld
nstaavos@vizpainter.com,False,2/6/2016,4/10/2016,Economy,157,DAL-OKC,575,Noel Staavos
nbalk@vizpainter.com,True,3/18/2016,4/9/2016,Economy,55,DAL-SEA,576,Nona Balk
npaige@vizpainter.com,True,10/27/2016,11/18/2016,Economy,154,DAL-MDW,577,Nora Paige
npreis@vizpainter.com,False,4/7/2016,5/8/2016,Economy,66,DAL-HOU,579,Nora Preis
pstobb@vizpainter.com,False,1/28/2016,3/26/2016,Economy,74,DAL-MDW,583,Pamela Stobb
pstobb@vizpainter.com,False,12/11/2015,3/26/2016,Economy,142,DAL-PHX,583,Pamela Stobb
pstobb@vizpainter.com,False,9/26/2016,10/25/2016,Business,90,DAL-MDW,583,Pamela Stobb
phirasaki@vizpainter.com,False,10/30/2015,1/8/2016,Economy,155,DAL-HOU,585,Patricia Hirasaki
phirasaki@vizpainter.com,False,12/4/2015,1/8/2016,Economy,135,DAL-MDW,585,Patricia Hirasaki
phirasaki@vizpainter.com,False,12/24/2015,1/8/2016,First Class,196,DAL-SEA,585,Patricia Hirasaki
po'brill@vizpainter.com,False,10/17/2016,12/21/2016,Economy,138,DAL-SLC,589,Patrick O'Brill
po'brill@vizpainter.com,False,11/27/2016,12/21/2016,Economy,138,DAL-HOU,589,Patrick O'Brill
po'brill@vizpainter.com,False,12/11/2016,12/21/2016,Business,168,DAL-SLC,589,Patrick O'Brill
po'brill@vizpainter.com,False,11/29/2016,12/21/2016,Economy,93,DAL-MDW,589,Patrick O'Brill
pgonzalez@vizpainter.com,True,10/25/2016,11/20/2016,Economy,104,DAL-AUS,592,Paul Gonzalez
pgonzalez@vizpainter.com,False,10/9/2016,11/20/2016,Economy,169,DAL-SLC,592,Paul Gonzalez
ttrevino@vizpainter.com,True,9/3/2016,11/19/2016,Business,111,DAL-AUS,737,Ted Trevino
ttrevino@vizpainter.com,False,10/17/2016,11/19/2016,Economy,139,DAL-GRR,737,Ted Trevino
ttrevino@vizpainter.com,True,9/22/2016,10/3/2016,Economy,106,DAL-OKC,737,Ted Trevino
ttrevino@vizpainter.com,False,10/12/2016,11/19/2016,Business,176,DAL-LGA,737,Ted Trevino
thendricks@vizpainter.com,False,10/15/2016,10/31/2016,Economy,109,DAL-ELP,739,Thea Hendricks
thendricks@vizpainter.com,True,9/24/2016,10/31/2016,Economy,113,DAL-CLE,739,Thea Hendricks
thendricks@vizpainter.com,False,9/18/2016,10/31/2016,Economy,132,DAL-HOU,739,Thea Hendricks
thendricks@vizpainter.com,False,9/27/2016,10/31/2016,Economy,151,DAL-CLE,739,Thea Hendricks
thendricks@vizpainter.com,True,9/14/2016,10/31/2016,Economy,139,DAL-MDW,739,Thea Hendricks
thudgings@vizpainter.com,False,11/23/2016,12/25/2016,Economy,110,DAL-GRR,740,Thea Hudgings
thudgings@vizpainter.com,False,12/6/2016,12/25/2016,Economy,114,DAL-LAS,740,Thea Hudgings
